,roc_auc,est,lr__C,lr__class_weight,pca,pca__conf__n_components
0,0.6654849458275215,0.6701576464389469,3.1622776601683795,balanced,"ColumnTransformer(transformers=[('ots+of', 'passthrough', [0, 1]),
                                ('conf', PCA(), slice(2, 82, None))])",None
1,0.6537704648292884,0.6687554393136423,3.1622776601683795,balanced,passthrough,
2,0.6676928944129525,0.6641026750913328,0.21544346900318845,balanced,passthrough,
3,0.6980694250725036,0.6615434762174194,0.21544346900318845,balanced,passthrough,
4,0.666126396306842,0.666818912418928,3.1622776601683795,balanced,passthrough,
5,0.6837872530416342,0.6674241341205464,3.1622776601683795,balanced,passthrough,
6,0.6695817605619588,0.6654885969856495,46.41588833612782,balanced,passthrough,
7,0.6533289764184805,0.6666638979767198,3.1622776601683795,balanced,"ColumnTransformer(transformers=[('ots+of', 'passthrough', [0, 1]),
                                ('conf', PCA(), slice(2, 82, None))])",None
8,0.6713004770150967,0.6667504150562467,46.41588833612782,balanced,passthrough,
9,0.6508306263886543,0.6656386039213685,3.1622776601683795,balanced,passthrough,
